id	filename	md5	size	state
3b157739-c888-41c7-a0b5-80b396407e1a	OCULI_p_TCGA_159_160_SNP_N_GenomeWideSNP_6_F08_831206.grch38.seg.v2.txt	35758eb4c35fd38934f387574c9813b0	21762	released
f4044973-b657-4320-8eb0-49b7201b04ce	TCGA-LUAD.cf13271f-b2ac-4fbf-b9f9-31e67580dac4.ascat3.allelic_specific.seg.txt	f3d44d4a2fa15c73dc546b0239d0f470	4253	released
849620b3-361f-4c3e-9996-4cbe6f189e25	aa2a1409-05dc-478c-8273-93f6796d6bbe.somatic.SV.bedpe	238c81eb6fafc53ef821341fa644e59b	131265	released
c4336a45-a9f4-4eb8-8ae4-62220d11cc04	TCGA-75-7027-01A-11H-1948-13_mirna_gdc_realn.bam	842f55cc8fbb82fd4e65b0e8de4511ea	238847642	released
4cebfe0b-ebc6-4f4a-ada2-46a6496917ef	TCGA_LUAD.744543a1-1be6-4e23-b4f3-d61bc709f878.wxs.Pindel.somatic_annotation.vcf.gz	b4bf66341ac10079c6319e5babacf307	58822	released
a89e8651-c5a2-4a53-a709-e042199bccef	abed1903-4541-4fa2-a274-079a88bee472.wxs.aliquot_ensemble_raw.maf.gz	5a2ba82d2a28eb7e9378546bafa47bfd	223016	released
1f41cd37-9610-4f14-95d2-d7613bdab7f9	TCGA-LUAD.1699f3ab-8453-47da-a4a1-69d7ca7e9172.wgs.varscan2.raw_somatic_mutation.vcf.gz	0a2a927491fc12afd7bbf4da21c94e4a	864784	released
22a6cf23-604a-4163-aa84-415fa93d6f58	TCGA-38-7271-01A-01-TS1.8e38324c-8605-4f16-a842-082e4ffd94dd.svs	c429dd25417dce159e7fef078438a875	45784353	released
cbfd2d6d-32cb-41c4-953b-608a92604f03	TCGA-LUAD.783b3ad4-07b1-420f-b535-2a2d2fa5be3a.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	cc70ca25e99e2f442a7a8a5bf0651af1	2263799	released
3f81eeda-71c4-462e-a9a8-9beaaf70e643	TCGA-LUAD.c69db3fa-0693-4aea-bd82-2ed1f81859bd.arriba.rna_fusion.bedpe	e6594882f74be0cc41c854fdad982e59	1512	released
07a8d035-ba92-413a-9b2d-d981c76b3199	1939a728-63bb-4748-8ac4-b8b5d57aee7c.somatic.SV.bedpe	9c5f4c94c39227aef53ce5e1f7ff9cce	94257	released
2e4666ee-86a3-4f0f-a710-4fd79e84627a	056f3049-18f0-4c6b-8681-f4b11908fb53_wxs_gdc_realn.bam	bf698da2907c0111766b086edbbde005	16842922727	released
440236c5-654e-41d0-bde8-065144461769	59bffff6-361e-4517-b620-42bb23398b5c_wxs_gdc_realn.bam	8ed3635e29f00c6233366e799062f26e	13320089986	released
b8fd162b-f3ef-4e03-8141-6511cdbda036	41410c91-5bd0-4928-a2b6-de14ffc9b26c.methylation_array.sesame.level3betas.txt	5db12b236837aa5ae803041dd6f59af6	13101846	released
410791f0-e0d3-4b08-aca4-712bb83c5a71	41df1552-4f17-4107-bf4c-a4d3aeadc1fc_noid_Grn.idat	6d42f143aa10fbf977681581edd82dd8	8095272	released
ec7893b9-92d1-429d-a929-3e05d2f2d0d8	TCGA-LUAD.687d7da5-7d49-4f4a-80cf-478a51cda488.wgs.varscan2.raw_somatic_mutation.vcf.gz	008e2394378b160db896ae901933d57f	1111028	released
8db0ebfd-a5ad-4bff-9c0d-ca7c6e5d00d7	c6ca45df-ca1b-4a04-8233-e23b7bb967d9.wxs.mutect2.raw_somatic_mutation.vcf.gz	2c4664423fc565af90b3498cdf45eab3	294355	released
cae0680e-f7bf-4742-aeca-8fac6d4f4934	2a48ffd2-9212-48f4-a836-7572eb2feffe.rna_seq.genomic.gdc_realn.bam	d32c858460c1d86c92a3358b2af8610f	6287558406	released
0004b298-b9c3-444a-ad3d-a426b96a0ac7	3ce157f3-a110-4c43-94c4-a07ebf8d8ba4_noid_Grn.idat	9e929d7b157d2ff51fb88643574d6d60	8095254	released
804d2a63-70ce-4f17-a6ce-45d487f0103f	IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_D11_808360.birdseed.data.txt	e6c5465c3bcbbc4aa58d9cbe69698f29	20850938	released
93066725-d671-4b6c-94b9-3edac49e58a0	TCGA_LUAD.59ab6b7c-afac-46b5-a904-db6eb0121843.wgs.VarScan2.somatic_annotation.vcf.gz	e7aa2df8d39c7932a1f390a5c8e08496	7059683	released
c22640ea-501e-4d99-bc5b-852247690ea9	TCGA-75-7027.04803F1D-6CB8-44EC-B4F1-11F1308DC840.PDF	e3bc970ad596e50a04f17a858b1fa072	36096	released
ac607690-fca5-412f-8118-fa12419082ba	514d32f1-f689-47bc-b748-2a831cc21d37.wxs.aliquot_ensemble_raw.maf.gz	378fb10bfdd845877d13cdcfd4aebc38	400831	released
d5e8b9b3-2b57-4c5c-88e3-dcb117139fd7	nationwidechildrens.org_clinical.TCGA-44-2655.xml	ae49d45e557408b842758d82ce7313fd	51346	released
015dbbda-030b-488e-942d-b56ccd6c965e	nationwidechildrens.org_biospecimen_analyte_luad.txt	807b5975ea3f38ca954307a2747ffc4b	1034348	released
6e218a50-f95a-44d7-b91b-ce759dca0808	EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_B04_585152.birdseed.data.txt	1b7c748e93b63eab50aa11796c0f0108	20850931	released
717d2cc6-ba26-43c8-bb46-1b03bd7908cb	HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A02_748092.nocnv_grch38.seg.v2.txt	e62d05bac56e488283961e7f7f5c8baa	3471	released
0277f676-24c7-4a4b-90d3-3897e3b27a27	nationwidechildrens.org_biospecimen_sample_luad.txt	1b179d028702476065f6bdfd533bbb2e	571887	released
4c8073fa-7fc2-443b-9e03-6cf7a08d3844	ff31fcaa-13b4-4976-8818-e9d927cfed04_wxs_gdc_realn.bam	3af636dee1450a8712dd21f451af4a2a	25543502179	released
96579fd3-03a4-4875-a9fb-888d3af3ce9e	TCGA_LUAD.1ae7261f-61de-42e4-9d65-95e6763aa341.wxs.Pindel.somatic_annotation.vcf.gz	f7ccf7c420f0b611e29b8565082294a7	116895	released
af87ff54-d882-4185-9af3-ba2a77bc0639	TCGA_LUAD.c768b683-80cf-42c1-a72a-25310a500cff.wxs.MuSE.somatic_annotation.vcf.gz	459cbb8b781efa0bfadaddbdeb1d9dbb	219766	released
f16410b4-f204-4e4a-9ce4-43d8b4a72fc9	15b7e9b4-d91b-4922-8716-823254743be6.wxs.aliquot_ensemble_raw.maf.gz	12f337c971ce8a87b5c03d2ac1cd28c9	193785	released
d4778869-f3f2-481b-ab02-65a654128766	11d52676-7017-48b4-872a-cefb91b8651c.rna_seq.augmented_star_gene_counts.tsv	e5993158892f7c670eda58c91e232d78	4251071	released
39413ffa-f093-4c5d-859c-cd9c3b253e63	eb6e3d9d-f56c-4bb2-956d-a287cba27771_wgs_gdc_realn.cr.igv.reheader.seg.txt	86c7327225a9a0ab6de61f776d46277d	20095	released
fabbee28-0e5f-48bb-a696-4e962755459e	c6886ccc-be6f-43b8-81f5-98d89daf4a7f.methylation_array.sesame.level3betas.txt	185f5bbebef12af57e7fec328a5b7525	772924	released
